open_time,BTCUSDT,ETHUSDT,BNBUSDT,SOLUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,TRXUSDT,DOTUSDT,AVAXUSDT,LINKUSDT,LTCUSDT,BCHUSDT,ETCUSDT,UNIUSDT,ATOMUSDT,XLMUSDT,NEARUSDT,ICPUSDT,APEUSDT,FTMUSDT,SUIUSDT,SEIUSDT,OPUSDT,ARBUSDT,GMXUSDT,INJUSDT,GRTUSDT,AAVEUSDT,SNXUSDT,CRVUSDT,COMPUSDT,IMXUSDT,APTUSDT,RLCUSDT
2024-11-01 00:00:00,11.162828694471141,7.8348632925316455,6.360092765164173,5.129839541574732,-0.6713856887784326,-1.0708998501015738,-1.818863486920114,-1.780226233414382,1.3775058550868113,3.2208738275308737,2.437115985951652,4.2381562642541795,5.883322388488279,2.925309809257445,2.037055825183398,1.4459773632810644,-2.3794661373300032,1.4060969884160703,2.069769921983105,0.004987541511038968,-0.4138501646426046,0.6905939237722281,-0.9428914136713341,0.48119081863630003,-0.6367668471238376,3.1437211512674406,2.953868069455292,-1.912572089444803,4.967379785425298,0.3307415619122278,-1.3727860110950982,3.765840495250065,0.1823215567939546,2.2159372862683733,0.4140944348062188
2024-11-01 00:15:00,11.162346190346335,7.835832279106911,6.360265670844555,5.129839541574732,-0.6709943759188121,-1.0708998501015738,-1.8127175638195325,-1.7796332894302145,1.3764965186397795,3.219675505038765,2.437115985951652,4.236278058110767,5.879974171074619,2.9269179575536315,2.0412203288596382,1.4457418197633107,-2.3794661373300032,1.4029056269250875,2.069643699199725,0.003992021269537457,-0.41128199342972926,0.6890387525154021,-0.9470077045362155,0.4824261492442928,-0.635822113940676,3.1450139762697455,2.953868069455292,-1.9139271032022627,4.966125954110298,0.3321773123383321,-1.3712087237018498,3.765840495250065,0.1773090149704103,2.2159372862683733,0.4081282255276481
2024-11-01 00:30:00,11.159900992801498,7.834788107388194,6.358881587578616,5.128477587256138,-0.6700167631710908,-1.0729445419195318,-1.810514245711703,-1.7796332894302145,1.37295579668071,3.2168738221975275,2.4344901638739844,4.235265253278478,5.868449096211435,2.9258461460898246,2.0336593490247084,1.4433833281040178,-2.3783868064103277,1.4006902414036229,2.065215834415854,-0.0020020026706730793,-0.41218765386899114,0.6876319998718352,-0.9503647122079065,0.4818086746954981,-0.6379017063339668,3.1445832202863455,2.9517803860248084,-1.9173226922034008,4.963264122680238,0.3314596947976687,-1.3731807219745074,3.764218810659752,0.1764711431157791,2.2159372862683733,0.40746311077083736
2024-11-01 00:45:00,11.158729303453208,7.833841874334445,6.359573868672378,5.130431117550338,-0.6702122092774493,-1.0729445419195318,-1.8121050438934851,-1.7808195291897206,1.37194185489549,3.2156706939192525,2.4344901638739844,4.236133434493478,5.870144011871426,2.925309809257445,2.0377076731955284,1.441492521584653,-2.3805466344637574,1.3979758658937285,2.060258722263062,-0.005012541823544286,-0.4127918834946252,0.68440911461666,-0.9524361785105084,0.4787155698477571,-0.639227338570515,3.141130476243348,2.9512577834521614,-1.9180031958023054,4.964102579968039,0.3321773123383321,-1.3755522645879885,3.76096753050819,0.1773090149704103,2.214846178686039,0.406797553341943
2024-11-01 01:00:00,11.161095906027974,7.835780887074641,6.360956994757329,5.131022343770705,-0.6698213552564486,-1.074700468621797,-1.8096587091158869,-1.7796332894302145,1.3724489542978375,3.217675104291682,2.4344901638739844,4.238733464847405,5.871272361779576,2.925309809257445,2.0367949669583636,1.4419655584903515,-2.3816283003344987,1.400197266288882,2.0606409122161184,-0.005012541823544286,-0.4117347211217598,0.6874811589333185,-0.9534735230018709,0.48119081863630003,-0.6369559009102027,3.138533072185662,2.9528247725427144,-1.9173226922034008,4.968979618827423,0.3321773123383321,-1.3739706114310588,3.7612001156935624,0.17142911562753102,2.21375387928743,0.406797553341943
2024-11-01 01:15:00,11.156869615067516,7.8318792507679404,6.35749558597074,5.122295922302562,-0.6733445532637656,-1.0802813319833862,-1.8189251373008244,-1.7814131771739108,1.3678757755958726,3.212455257065278,2.4292177439274116,4.237434294689934,5.864766894062025,2.9193910402972683,2.0354896541506533,1.4369874754354088,-2.387054249620496,1.391033115467064,2.052327249188264,-0.012072581234269249,-0.41339647843444466,0.6806696590488327,-0.9610266257155465,0.47436908675537554,-0.6422639702453755,3.133753571451366,2.946016681308058,-1.924833823453397,4.9677973800861555,0.32570013963930183,-1.3751566167094347,3.7546671946519394,0.17058630057553367,2.2071749081893874,0.40413088509502776
2024-11-01 01:30:00,11.155246874689817,7.83154581687209,6.359400843323733,5.1234876755123775,-0.6731484940532562,-1.0782215990203756,-1.8241793604841663,-1.783196238567567,1.372195436740389,3.2164729402518906,2.4344901638739844,4.238011912034514,5.869014387351418,2.9210087273580543,2.0412203288596382,1.4384123153819974,-2.3837951484195887,1.3969869906586339,2.063693184711697,-0.006018072325563021,-0.4129429979641233,0.6910950764338145,-0.9524361785105084,0.4780957991430718,-0.6396064136319155,3.120159851929043,2.9512577834521614,-1.9200474895295858,4.9624949187683205,0.3285840637722067,-1.367668896996726,3.7563044304287256,0.16805358499624976,2.2126603854660587,0.406797553341943
2024-11-01 01:45:00,11.147671108611513,7.824649828521709,6.354891643869248,5.1187719527008335,-0.6758968271534176,-1.0838222031954743,-1.8292744379908141,-1.7826015314432895,1.3681303904922195,3.2120525995200753,2.428336298299606,4.235699438103303,5.861071083174386,2.9161477942111484,2.0344441757491003,1.4322232930082903,-2.388142981355692,1.3880428316540074,2.054892668758423,-0.016129381929883644,-0.4183983835200636,0.6871794087801538,-0.9565920286476808,0.4706284340145776,-0.6455005270925923,3.1135153092103742,2.9428587839469227,-1.9275791923705898,4.956953183846396,0.3199072197465178,-1.3727860110950982,3.7520889675118205,0.16551443847757333,2.2049722641270453,0.4007875185570534
2024-11-01 02:00:00,11.142470438890877,7.817548950594885,6.35088571671474,5.112951179567857,-0.6818116708961997,-1.09094178236389,-1.8433264852844902,-1.7849824849490312,1.3614892422009195,3.2055879305412653,2.423031246069913,4.225957449023992,5.8544986920348245,2.911263116927541,2.0299886579603057,1.4269563428387804,-2.3947003819018513,1.3805277662255535,2.0482088392487374,-0.02326862693935433,-0.42480084441490673,0.6783888095843998,-0.9652184054975786,0.4637340162321402,-0.6518133170669681,3.098288861879083,2.935982269148217,-1.9344757714296503,4.95350040939126,0.3140805463063118,-1.3823023398503531,3.746912485364546,0.15956456967133845,2.1972245773362196,0.39339252687389514
2024-11-01 02:15:00,11.147498188006569,7.826283505796484,6.3578422665081,5.1223555437066635,-0.6707987768961835,-1.0820502003691315,-1.8274695518621342,-1.783196238567567,1.3688938464397233,3.215269329274089,2.4344901638739844,4.234686046775173,5.865617837242007,2.9215473753646144,2.044332364566268,1.4348464017020561,-2.387054249620496,1.3900373473987249,2.061659371884038,-0.011060947359424948,-0.41037715246918505,0.7008673035750833,-0.9498475154029978,0.47561286801024616,-0.6413140319199281,3.110845080654496,2.94706710157271,-1.924833823453397,4.962844630259907,0.32425505268262117,-1.367668896996726,3.7539647007698704,0.16974277458709455,2.21046980408624,0.4027948795522855
2024-11-01 02:30:00,11.146575583682628,7.82660672941617,6.3569753397091135,5.118233304694274,-0.6733445532637656,-1.082935809283102,-1.8335194034762867,-1.7843867148986419,1.3686394258811698,3.214867803470662,2.4300984132930052,4.233961566558017,5.861925175752996,2.919930560137709,2.0445912642440898,1.434369984351454,-2.3903240073020524,1.3882923637825637,2.0574515237882207,-0.016129381929883644,-0.409322538435469,0.6909948659918026,-0.9482975280092415,0.47187687362741587,-0.6430245711567348,3.109060958860994,2.9444389791664403,-1.926205565780978,4.95983310716587,0.32425505268262117,-1.3716028123769008,3.752323626670471,0.16296882827813972,2.2027647577118348,0.4007875185570534
2024-11-01 02:45:00,11.150230867790627,7.828042016181638,6.359573868672378,5.1219381192097115,-0.6717771548237528,-1.081165375064389,-1.8257920639722627,-1.783196238567567,1.3716882087305284,3.2156706939192525,2.4336133554004498,4.236133434493478,5.86533426996377,2.9215473753646144,2.046530878222576,1.4367498046083838,-2.388142981355692,1.3875435805203225,2.0619138248116196,-0.014098924379501648,-0.40721664114697076,0.6916460544336782,-0.9408396047955678,0.47561286801024616,-0.6401752957938396,3.113959654918641,2.94706710157271,-1.9220959709560583,4.959903245689483,0.3249778571954777,-1.373575588712116,3.755135249891002,0.16296882827813972,2.206074192613202,0.4027948795522855
2024-11-01 03:00:00,11.149961644579891,7.829144988944115,6.360956994757329,5.121222128725663,-0.6717771548237528,-1.0776338822829181,-1.8290252944205438,-1.7820071777853768,1.3724489542978375,3.217274543501227,2.4379897300002487,4.2358441244958005,5.865901324132636,2.9231615807191558,2.047950874588465,1.43746264769429,-2.388142981355692,1.390286382389428,2.0648353892904736,-0.014098924379501648,-0.4031677490594809,0.685417382498004,-0.9370037734716967,0.4762341789963717,-0.6371449904446604,3.1157350659486873,2.94706710157271,-1.9214126774549258,4.9619351258770665,0.32570013963930183,-1.3723914559508992,3.759337917762498,0.16041672140590466,2.2049722641270453,0.40413088509502776
2024-11-01 03:15:00,11.151180547551608,7.830727638980004,6.36406205159053,5.123785392028911,-0.6647541060587275,-1.0755795895575369,-1.832393981324238,-1.7814131771739108,1.3752334137604656,3.218475744846861,2.4414770918606643,4.238733464847405,5.8687317817256845,2.925309809257445,2.0550207671381537,1.4400720668003617,-2.385966701933097,1.397481550510455,2.06774844308879,-0.006018072325563021,-0.4036168172505467,0.6882351361989246,-0.935473551290929,0.48057258059496977,-0.6335583891482879,3.119276459645446,2.9512577834521614,-1.9166426513747452,4.9693965460796585,0.3307415619122278,-1.3645328693383778,3.7618975468505083,0.15614868248993138,2.2082744135228043,0.40945712937770185
